Rk,Player,SOS,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR,NextYear
1,Alvin Kamara,22,25,15,10,187,932,4.98,16,107,83,756,9.11,5,1,0,21,377.8,234.7
2,Dalvin Cook,5,25,14,14,312,1557,4.99,16,54,44,361,8.2,1,5,3,17,337.8,206.3
3,Derrick Henry ,13,26,16,16,378,2027,5.36,17,31,19,114,6,0,3,2,17,333.1,193.3
4,David Montgomery,3,23,15,14,247,1070,4.33,8,68,54,438,8.11,2,1,1,10,264.8,195
5,Aaron Jones,4,26,14,14,201,1104,5.49,9,63,47,355,7.55,2,2,0,11,258.9,229
6,Jonathan Taylor,23,21,15,13,232,1169,5.04,11,39,36,299,8.31,1,1,1,12,252.8,373.1
7,James Robinson,18,22,14,14,240,1070,4.46,7,60,49,344,7.02,3,3,1,10,250.4,173.9
8,Josh Jacobs,8,22,15,15,273,1065,3.9,12,45,33,238,7.21,0,2,2,12,231.3,226
9,Ezekiel Elliott,31,25,15,15,244,979,4.01,6,71,52,338,6.5,2,6,5,8,223.7,252.06
10,Kareem Hunt,9,25,16,5,198,841,4.25,6,51,38,304,8,5,2,0,11,218.5,110
11,Nick Chubb,9,25,12,12,190,1067,5.62,12,18,16,150,9.38,0,1,1,12,207.7,215.3
12,Mike Davis,26,27,15,12,165,642,3.89,6,70,59,373,6.32,2,1,1,8,206.5,138.2
13,Antonio Gibson,15,22,14,10,170,795,4.68,11,44,36,247,6.86,0,1,2,11,202.2,229.1
14,Melvin Gordon,27,27,15,10,215,986,4.59,9,44,32,158,4.94,1,4,4,10,198.4,258.02
15,Nyheim Hines,23,24,16,2,89,380,4.27,3,76,63,482,7.65,4,0,0,7,193.2,112.6
16,Kenyan Drake,13,26,15,13,239,955,4,10,31,25,137,5.48,0,3,1,10,192.2,102.5
17,J.D. McKissic,15,27,16,7,85,365,4.29,1,110,80,589,7.36,2,3,1,3,191.4,127.9
