Rk,Player,SOS,Age,G,GS,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR,NextYear
1,Travis Kelce,11,31,15,15,145,105,1416,13.49,11,1,1,11,312.8,262.8
2,Darren Waller,8,28,16,15,145,107,1196,11.18,9,2,2,9,278.6,133.5
3,Robert Tonyan,4,26,16,8,59,52,586,11.27,11,0,0,11,176.6,53.6
4,Logan Thomas,15,29,16,15,110,72,670,9.31,6,0,0,6,176.6,50.4
5,T.J. Hockenson,6,23,16,16,101,67,723,10.79,6,1,1,6,175.3,145.3
6,Mark Andrews,2,25,14,2,88,58,701,12.09,7,2,0,7,170.1,301.1
7,Mike Gesicki,27,25,15,9,85,53,703,13.26,6,0,0,6,159.3,165
8,Rob Gronkowski,29,31,16,16,77,45,623,13.84,7,1,0,7,149.3,171.2
9,Noah Fant,27,23,15,14,93,62,673,10.85,3,0,0,3,149.3,159
10,Hayden Hurst,30,27,16,9,88,56,571,10.2,6,0,0,6,149.1,64.1
11,Dalton Schultz,31,24,16,14,89,63,615,9.76,4,1,1,4,146.5,208.8
12,Hunter Henry,17,26,14,14,93,60,613,10.22,4,0,0,4,145.3,164.3
13,Jimmy Graham,3,34,16,15,76,50,456,9.12,8,1,0,8,143.6,50.7
14,Eric Ebron,1,27,15,9,91,56,558,9.96,5,1,1,5,141.8,
15,Evan Engram,25,26,16,14,109,63,654,10.38,1,1,1,2,141,102.5
16,Jonnu Smith,13,25,15,14,65,41,448,10.93,8,0,0,9,140.2,67.4
17,Tyler Higbee,10,27,15,15,60,44,521,11.84,5,0,0,5,128.2,147
18,Jared Cook,22,33,15,5,60,37,504,13.62,7,1,1,7,127.4,132.4
19,George Kittle,19,27,8,8,63,48,634,13.21,2,0,0,2,125.1,198
20,Dallas Goedert,32,25,11,9,65,46,524,11.39,3,0,0,3,116.4,165
21,Austin Hooper,9,26,13,13,70,46,435,9.46,4,0,0,4,113.5,92.5
22,Irv Smith Jr.,5,22,13,7,43,30,365,12.17,5,0,0,5,98.5,
23,Dan Arnold,13,25,16,5,45,31,438,14.13,4,2,1,4,96.8,75.8
1,Travis Kelce,6,30,16,16,136,97,1229,12.67,5,1,1,6,254.3,312.76
2,George Kittle,11,26,14,14,107,85,1053,12.39,5,1,0,5,222.5,125.1
3,Darren Waller,1,27,16,16,117,90,1145,12.72,3,1,1,3,221,278.6
4,Zach Ertz,26,29,15,15,135,88,916,10.41,6,1,1,6,215.6,77.5
5,Mark Andrews,20,24,15,4,98,64,852,13.31,10,2,1,10,207.2,170.1
6,Austin Hooper,8,25,13,10,97,75,787,10.49,6,0,0,6,191.7,113.5
7,Jared Cook,22,32,14,7,65,43,705,16.4,9,0,0,9,167.5,127.4
8,Tyler Higbee,30,26,15,15,89,69,734,10.64,3,0,0,3,160.4,128.2
9,Hunter Henry,17,25,12,12,76,55,652,11.85,5,1,1,5,150.2,145.3
10,Dallas Goedert,26,24,15,9,87,58,607,10.47,5,2,2,5,144.7,116.4
11,Jason Witten,15,37,16,16,83,63,529,8.4,4,1,1,4,139.9,
12,Mike Gesicki,18,24,16,5,89,51,570,11.18,5,1,1,5,136,159.3
13,Greg Olsen,16,34,14,14,82,52,597,11.48,2,0,0,2,123.7,53.9
14,Kyle Rudolph,10,30,16,16,48,39,367,9.41,6,0,0,6,113.7,65.4
15,Jack Doyle,7,29,16,16,72,43,448,10.42,4,1,0,4,111.8,64.1
16,Noah Fant,2,22,16,11,66,40,562,14.05,3,1,1,3,111,149.3
17,Darren Fells,4,33,16,14,48,34,341,10.03,7,0,0,7,110.1,76.2
18,Evan Engram,29,25,8,6,68,44,467,10.61,3,0,0,3,109.4,141
19,Tyler Eifert,27,29,16,4,63,43,436,10.14,3,0,0,3,106.6,82.9
20,Jonnu Smith,9,24,16,14,44,35,439,12.54,3,0,0,3,104.7,140.2
21,Jimmy Graham,14,33,16,10,60,38,447,11.76,3,1,0,3,100.7,143.6
22,Ryan Griffin,28,29,13,13,41,34,320,9.41,5,0,0,5,98,
23,Eric Ebron,7,26,11,2,52,31,375,12.1,3,0,0,3,86.5,141.8
