Rk,Player,SOS,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR,NextYear
1,Davante Adams,4,28,14,14,0,0,0,0,149,115,1374,11.95,18,1,1,18,358.4,344.3
2,Tyreek Hill,11,26,15,15,13,123,9.46,2,135,87,1276,14.67,15,1,0,17,328.9,296.5
3,Stefon Diggs,23,27,16,15,1,1,1,0,166,127,1535,12.09,8,0,0,8,328.6,285.5
4,DeAndre Hopkins,13,28,16,16,1,1,1,0,160,115,1407,12.23,6,3,2,6,287.8,147.2
5,Calvin Ridley,30,26,15,15,5,1,0.2,0,143,90,1374,15.27,9,1,1,9,281.5,222.92
6,Justin Jefferson,5,21,16,14,1,2,2,0,125,88,1400,15.91,7,1,0,7,274.2,330.4
7,D.K. Metcalf,11,23,16,16,0,0,0,0,129,83,1303,15.7,10,1,1,10,271.3,244.3
8,Tyler Lockett,11,28,16,16,0,0,0,0,132,100,1054,10.54,10,1,0,10,265.4,241.4
9,Allen Robinson,3,27,16,16,1,-1,-1,0,151,102,1250,12.25,6,0,0,6,262.9,87
10,Adam Thielen,5,30,15,15,3,15,5,0,108,74,925,12.5,14,0,0,14,254,199.8
11,Mike Evans,29,27,16,16,0,0,0,0,109,70,1006,14.37,13,0,0,13,248.6,180.9
12,A.J. Brown,13,23,14,12,0,0,0,0,106,70,1075,15.36,11,2,1,12,247.5,137.2
13,Robert Woods,10,28,16,16,24,155,6.46,2,129,90,936,10.4,6,2,1,8,245.1,257.8
14,Keenan Allen,17,28,14,13,1,-1,-1,0,147,100,992,9.92,8,3,2,8,245.1,180.9
15,Amari Cooper,31,26,16,15,6,14,2.33,0,130,92,1114,12.11,5,0,0,5,236.8,202.5
16,JuJu Smith-Schuster,1,24,16,14,0,0,0,0,128,97,831,8.57,9,3,1,9,234.1,
17,Brandin Cooks,15,27,15,15,0,0,0,0,119,81,1150,14.2,6,0,0,6,232,231.8
18,Marvin Jones,6,30,16,16,0,0,0,0,115,76,978,12.87,9,0,0,9,227.8,180.2
19,Robby Anderson,26,27,16,16,4,15,3.75,0,136,95,1096,11.54,3,1,1,3,224.1,138.5
20,Terry McLaurin,15,25,15,15,2,30,15,0,134,87,1118,12.85,4,1,1,4,223.8,213.5
21,Diontae Johnson,1,24,15,13,3,15,5,0,144,88,923,10.49,7,2,1,7,221.8,274.4
22,CeeDee Lamb,31,21,16,14,10,82,8.2,1,111,74,935,12.64,5,2,1,7,217.7,166.6
23,Chase Claypool,1,22,16,6,10,16,1.6,2,109,62,873,14.08,9,3,1,11,214.9,
24,Curtis Samuel,26,24,15,5,41,200,4.88,2,97,77,851,11.05,3,1,0,5,212.1,232.8
25,D.J. Moore,26,23,15,14,2,22,11,0,118,66,1193,18.08,4,0,0,4,211.5,237.5
26,Cooper Kupp,10,27,15,12,4,33,8.25,0,124,92,974,10.59,3,1,1,3,208.7,439.5
27,Cole Beasley,23,31,15,10,0,0,0,0,107,82,967,11.79,4,0,0,4,207.5,159.3
28,Tee Higgins,6,21,16,14,5,28,5.6,0,108,67,908,13.55,6,1,1,6,194.6,219.1
29,Tyler Boyd,6,26,15,8,5,49,9.8,0,110,79,841,10.65,4,1,0,4,192.6,183.84
30,Corey Davis,13,25,14,12,0,0,0,0,92,65,984,15.14,5,1,1,5,191.4,105.2
31,Chris Godwin,29,24,12,12,0,0,0,0,84,65,840,12.92,7,1,0,7,191,242.4
32,Will Fuller,15,26,11,11,1,0,0,0,75,53,879,16.58,8,0,0,8,188.9,
33,Jarvis Landry,9,28,15,14,4,10,2.5,1,101,72,840,11.67,3,2,0,4,188,133
34,Nelson Agholor,8,27,16,13,0,0,0,0,82,48,896,18.67,8,0,0,8,185.6,103.4
35,Brandon Aiyuk,19,22,12,11,6,77,12.83,2,96,60,748,12.47,5,0,0,7,184.5,170.3
36,Marquise Brown,2,23,16,14,1,1,1,0,100,58,769,13.26,8,0,0,8,183,226.3
