Rk,Player,SOS,Age,G,GS,Cmp,PassAtt,PassYds,PassTd,Int,RushAtt,RushYds,Y/A,RushTD,Fmb,FL,TD,PPR
1,Josh Allen,12,25,17,17,409,646,4407,36,15,122,763,6.25,6,8,3,6,402.6
2,Justin Herbert,10,23,17,17,443,672,5014,38,15,63,302,4.79,3,1,1,3,380.8
3,Tom Brady,4,44,17,17,485,719,5316,43,12,28,81,2.89,2,4,3,2,374.7
4,Patrick Mahomes,5,26,17,17,436,658,4839,37,13,66,381,5.77,2,9,4,2,361.7
5,Aaron Rodgers,22,38,16,16,366,531,4115,37,4,33,101,3.06,3,3,0,3,333.3
6,Matthew Stafford,1,33,17,17,404,601,4886,41,17,32,43,1.34,0,5,2,0,329.7
7,Dak Prescott,31,28,16,16,410,596,4449,37,10,48,146,3.04,1,14,6,1,320.6
8,Joe Burrow,3,25,16,16,366,520,4611,34,14,40,118,2.95,2,5,2,2,314.2
9,Jalen Hurts,30,23,15,15,265,432,3144,16,9,139,784,5.64,10,9,2,10,312.2
10,Kyler Murray,2,24,14,14,333,481,3787,24,10,88,423,4.81,5,13,0,5,300.5
11,Kirk Cousins,20,33,16,16,372,561,4221,33,7,29,115,3.97,1,12,2,1,300.3
12,Ryan Tannehill,24,33,17,17,357,531,3734,21,14,55,270,4.91,7,10,4,7,268.4
13,Carson Wentz,26,29,17,17,322,516,3563,27,7,57,215,3.77,1,8,5,1,258
14,Derek Carr,7,30,17,17,428,626,4804,23,14,40,108,2.7,0,13,5,0,257
15,Russell Wilson,11,33,14,14,259,400,3113,25,6,43,183,4.26,2,6,1,2,242.8
16,Lamar Jackson,23,24,12,12,246,382,2882,16,13,133,767,5.77,2,6,3,2,240
17,Jimmy Garoppolo,5,30,15,15,301,441,3810,20,12,38,51,1.34,3,8,3,3,227.5
18,Mac Jones,16,23,17,17,352,521,3801,22,13,44,129,2.93,0,7,3,0,224.9
19,Matt Ryan,9,36,17,17,375,560,3968,20,12,40,82,2.05,1,11,4,1,222.9
20,Taylor Heinicke,31,28,16,15,321,494,3419,20,15,60,313,5.22,1,7,2,1,222.9
21,Ben Roethlisberger,12,39,16,16,390,605,3740,22,10,20,5,0.25,1,11,5,1,218.1
22,Teddy Bridgewater,15,29,14,14,285,426,3052,18,7,30,106,3.53,2,1,1,2,202.7
23,Trevor Lawrence,26,22,17,17,359,602,3641,12,17,73,334,4.58,2,9,5,2,199
24,Jared Goff,28,27,14,14,332,494,3245,19,8,17,87,5.12,0,9,6,0,194.5
25,Tua Tagovailoa,21,23,13,12,263,388,2653,16,10,42,128,3.05,3,9,1,3,180.9
26,Baker Mayfield,17,26,14,14,253,418,3010,17,13,37,134,3.62,1,6,3,1,180.9
27,Daniel Jones,29,24,11,11,232,361,2428,10,7,62,298,4.81,2,7,3,2,167.5
28,Sam Darnold,12,24,12,11,243,406,2527,9,13,48,222,4.63,5,9,4,5,157.3
29,Davis Mills,19,23,13,11,263,394,2664,16,10,18,44,2.44,0,5,1,0,157
30,Zach Wilson,17,22,13,13,213,383,2334,9,11,29,185,6.38,4,5,1,4,151.9
31,Justin Fields,24,22,12,10,159,270,1870,7,10,72,420,5.83,2,12,5,2,126.8
32,Taysom Hill,7,31,12,9,78,134,978,4,5,70,374,5.34,5,2,0,5,121.7
33,Jameis Winston,7,27,7,7,95,161,1170,14,3,32,166,5.19,1,2,1,1,117.4
34,Trevor Siemian,7,30,6,4,108,188,1154,11,3,9,20,2.22,1,3,1,1,90.2
35,Cam Newton,12,32,8,5,69,126,684,4,5,47,230,4.89,5,4,1,5,86.4
36,Andy Dalton,24,34,8,6,149,236,1515,8,9,16,76,4.75,0,1,1,0,84.2
37,Tyler Huntley,23,23,7,4,122,188,1081,3,4,47,294,6.26,2,4,3,2,82.6
38,Tyrod Taylor,19,32,6,6,91,150,966,5,5,19,151,7.95,3,3,0,3,81.7
39,Jacoby Brissett,21,29,11,5,141,225,1283,5,4,19,70,3.68,1,6,3,1,72.3
40,Trey Lance,5,21,6,2,41,71,603,5,2,38,168,4.42,1,0,0,1,64.9
41,Geno Smith,11,31,4,3,65,95,702,5,1,9,42,4.67,1,1,1,1,54.3
42,Drew Lock,15,25,6,3,67,111,787,2,2,10,53,5.3,2,2,1,2,51.9
