Rk,Player,SOS,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR
1,Jonathan Taylor,26,22,17,17,332,1811,5.45,18,51,40,360,9,2,4,2,20,373.1
2,Austin Ekeler,10,26,16,16,206,911,4.42,12,94,70,647,9.24,8,4,3,20,343.8
3,Najee Harris,12,23,17,17,307,1200,3.91,7,94,74,467,6.31,3,0,0,10,300.7
4,Joe Mixon,3,25,16,16,292,1205,4.13,13,48,42,314,7.48,3,2,1,16,287.9
5,James Conner,2,26,15,6,202,752,3.72,15,39,37,375,10.14,3,2,0,18,257.7
6,Leonard Fournette,4,26,14,13,180,812,4.51,8,84,69,454,6.58,2,1,0,10,255.6
7,Ezekiel Elliott,31,26,17,17,237,1002,4.23,10,65,47,287,6.11,2,1,1,12,252.1
8,Alvin Kamara,7,26,13,10,240,898,3.74,4,67,47,439,9.34,5,0,0,9,234.7
9,Cordarrelle Patterson,9,30,16,13,153,618,4.04,6,69,52,548,10.54,5,2,0,11,234.6
10,Antonio Gibson,31,23,16,14,258,1037,4.02,7,52,42,294,7,3,6,4,10,229.1
11,Aaron Jones,22,27,15,15,171,799,4.67,4,65,52,391,7.52,6,2,1,10,229
12,Josh Jacobs,7,23,15,14,217,872,4.02,9,64,54,348,6.44,0,2,2,9,226
13,Nick Chubb,17,26,14,14,228,1259,5.52,8,25,20,174,8.7,1,2,1,9,215.3
14,Damien Harris,16,24,15,15,202,929,4.6,15,21,18,132,7.33,0,2,2,15,210.1
15,D'Andre Swift,28,22,13,4,151,617,4.09,5,78,62,452,7.29,2,2,1,7,208.9
16,Dalvin Cook,20,26,13,13,249,1159,4.65,6,49,34,224,6.59,0,3,2,6,206.3
17,Javonte Williams,15,21,17,1,203,903,4.45,4,53,43,316,7.35,3,2,1,7,204.9
18,Devin Singletary,12,24,17,16,188,870,4.63,7,50,40,228,5.7,1,5,0,8,197.8
19,Darrel Williams,5,26,17,7,144,558,3.88,6,57,47,452,9.62,2,0,0,8,196
