Rk,Player,SOS,Age,G,GS,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR
1,Mark Andrews,23,26,17,9,153,107,1361,12.72,9,1,0,9,301.1
2,Travis Kelce,5,32,16,16,134,92,1125,12.23,9,1,1,10,262.8
3,Dalton Schultz,31,25,17,15,104,78,808,10.36,8,0,0,8,208.8
4,George Kittle,5,28,14,14,94,71,910,12.82,6,2,1,6,198
5,Zach Ertz,30,31,17,14,112,74,763,10.31,5,0,0,5,180.7
6,Kyle Pitts,9,21,17,15,110,68,1026,15.09,1,0,0,1,176.6
7,Rob Gronkowski,4,32,12,12,89,55,802,14.58,6,0,0,6,171.2
8,Mike Gesicki,21,26,17,9,112,73,780,10.68,2,0,0,2,165
9,Dallas Goedert,30,26,15,14,76,56,830,14.82,4,1,0,4,165
10,Hunter Henry,16,27,17,10,75,50,603,12.06,9,0,0,9,164.3
11,Dawson Knox,12,25,15,14,71,49,587,11.98,9,0,0,9,164.1
12,Noah Fant,15,24,16,16,90,68,670,9.85,4,0,0,4,159
13,Pat Freiermuth,12,23,16,9,79,60,497,8.28,7,1,1,7,151.7
14,Tyler Higbee,1,28,15,15,85,61,560,9.18,5,1,0,5,147
15,T.J. Hockenson,28,24,12,12,84,61,583,9.56,4,0,0,4,145.3
16,Tyler Conklin,20,26,17,15,87,61,593,9.72,3,1,0,3,138.3
17,Darren Waller,7,29,11,11,93,55,665,12.09,2,0,0,2,133.5
18,Jared Cook,10,34,16,10,83,48,564,11.75,4,0,0,4,132.4
19,C.J. Uzomah,3,28,16,16,63,49,493,10.06,5,0,0,5,128.3
20,Cole Kmet,24,22,17,17,93,60,612,10.2,0,0,0,0,121.2
21,Gerald Everett,11,27,15,12,63,48,478,9.96,4,2,2,4,117.8
22,David Njoku,17,25,16,11,53,36,475,13.19,4,0,0,4,107.6
23,Evan Engram,29,27,15,12,73,46,408,8.87,3,1,1,3,102.5
24,Austin Hooper,17,27,16,16,61,38,345,9.08,3,0,0,3,92.5
25,Foster Moreau,7,24,17,11,44,30,373,12.43,3,1,0,3,85.3
26,Mo Alie-Cox,26,28,17,7,45,24,316,13.17,4,1,0,4,79.6
27,Jack Doyle,26,31,17,14,43,29,302,10.41,3,0,0,3,79.2
28,Anthony Firkser,24,26,15,1,43,34,291,8.56,2,2,1,3,79.1
29,Cameron Brate,4,30,17,3,57,30,245,8.17,4,0,0,4,78.5
30,Albert Okwuegbunam,15,23,14,6,40,33,330,10,2,1,1,2,76
31,Dan Arnold,26,26,11,4,52,35,408,11.66,0,1,1,0,75.8
32,Durham Smythe,21,26,17,12,41,34,357,10.5,0,0,0,0,70
33,Geoff Swaim,24,28,16,16,40,31,210,6.77,3,0,0,3,70
34,Ricky Seals-Jones,31,26,13,6,49,30,271,9.03,2,0,0,2,69.1
35,Jonnu Smith,16,26,16,11,45,28,294,10.5,1,1,0,1,67.4
36,Ryan Griffin,17,31,14,12,42,27,261,9.67,2,1,0,2,65.1
37,Hayden Hurst,9,28,13,5,31,26,221,8.5,3,3,1,3,64.1
38,Adam Trautman,7,24,13,10,43,27,263,9.74,2,1,1,2,63.3
39,Harrison Bryant,17,23,16,3,28,21,233,11.1,3,0,0,3,62.3
40,Josiah Deguara,22,24,16,2,33,25,245,9.8,2,0,0,2,61.5
41,Kyle Rudolph,29,32,16,13,39,26,257,9.88,1,0,0,1,59.7
42,Donald Parham,10,24,14,9,27,20,190,9.5,3,0,0,3,59
43,Brevin Jordan,19,21,9,2,28,20,178,8.9,3,0,0,3,55.8
44,Logan Thomas,31,30,6,6,25,18,196,10.89,3,1,1,3,53.6
45,Tommy Tremble,12,21,16,11,35,20,180,9,1,0,0,2,53.1
46,Juwan Johnson,7,25,14,2,22,13,159,12.23,4,0,0,4,52.9
47,John Bates,31,24,17,8,25,20,249,12.45,1,1,0,1,50.9
48,Jimmy Graham,24,35,15,6,23,14,167,11.93,3,0,0,3,50.7
49,Robert Tonyan,22,27,8,5,29,18,204,11.33,2,0,0,2,50.4
50,James O'Shaughnessy,26,29,7,6,34,24,244,10.17,0,0,0,0,50.4
51,Will Dissly,11,25,15,14,26,21,231,11,1,1,0,1,50.1
52,MyCole Pruitt,24,29,16,9,18,14,145,10.36,3,0,0,3,48.5
